diagnostic,accuracy,accuracy_drop,logit_kl,label_flip_rate,downgraded_operator_count,operator_ids
baseline_high,0.96875,0.0,0.0,0.0,0,
layer_0_low,0.4921875,0.4765625,0.9831048250198364,0.4765625,3,distilbert_sst2.layer0.gelu.ffn_activation;distilbert_sst2.layer0.layernorm.attention_layernorm;distilbert_sst2.layer0.layernorm.ffn_layernorm
layer_1_low,0.4921875,0.4765625,1.1814225912094116,0.4765625,3,distilbert_sst2.layer1.gelu.ffn_activation;distilbert_sst2.layer1.layernorm.attention_layernorm;distilbert_sst2.layer1.layernorm.ffn_layernorm
layer_2_low,0.4921875,0.4765625,0.6927176117897034,0.4765625,3,distilbert_sst2.layer2.gelu.ffn_activation;distilbert_sst2.layer2.layernorm.attention_layernorm;distilbert_sst2.layer2.layernorm.ffn_layernorm
layer_3_low,0.4921875,0.4765625,0.885296106338501,0.4765625,3,distilbert_sst2.layer3.gelu.ffn_activation;distilbert_sst2.layer3.layernorm.attention_layernorm;distilbert_sst2.layer3.layernorm.ffn_layernorm
layer_4_low,0.90625,0.0625,0.2136317491531372,0.0625,3,distilbert_sst2.layer4.gelu.ffn_activation;distilbert_sst2.layer4.layernorm.attention_layernorm;distilbert_sst2.layer4.layernorm.ffn_layernorm
layer_5_low,0.9765625,-0.0078125,0.04264634847640991,0.0078125,3,distilbert_sst2.layer5.gelu.ffn_activation;distilbert_sst2.layer5.layernorm.attention_layernorm;distilbert_sst2.layer5.layernorm.ffn_layernorm
layers_0_1_low,0.4921875,0.4765625,2.6069109439849854,0.4765625,6,distilbert_sst2.layer0.gelu.ffn_activation;distilbert_sst2.layer0.layernorm.attention_layernorm;distilbert_sst2.layer0.layernorm.ffn_layernorm;distilbert_sst2.layer1.gelu.ffn_activation;distilbert_sst2.layer1.layernorm.attention_layernorm;distilbert_sst2.layer1.layernorm.ffn_layernorm
layers_1_2_low,0.41015625,0.55859375,11.809460639953613,0.57421875,6,distilbert_sst2.layer1.gelu.ffn_activation;distilbert_sst2.layer1.layernorm.attention_layernorm;distilbert_sst2.layer1.layernorm.ffn_layernorm;distilbert_sst2.layer2.gelu.ffn_activation;distilbert_sst2.layer2.layernorm.attention_layernorm;distilbert_sst2.layer2.layernorm.ffn_layernorm
layers_2_3_low,0.4609375,0.5078125,8.807790756225586,0.515625,6,distilbert_sst2.layer2.gelu.ffn_activation;distilbert_sst2.layer2.layernorm.attention_layernorm;distilbert_sst2.layer2.layernorm.ffn_layernorm;distilbert_sst2.layer3.gelu.ffn_activation;distilbert_sst2.layer3.layernorm.attention_layernorm;distilbert_sst2.layer3.layernorm.ffn_layernorm
layers_3_4_low,0.4921875,0.4765625,9.787178993225098,0.4765625,6,distilbert_sst2.layer3.gelu.ffn_activation;distilbert_sst2.layer3.layernorm.attention_layernorm;distilbert_sst2.layer3.layernorm.ffn_layernorm;distilbert_sst2.layer4.gelu.ffn_activation;distilbert_sst2.layer4.layernorm.attention_layernorm;distilbert_sst2.layer4.layernorm.ffn_layernorm
layers_4_5_low,0.66796875,0.30078125,7.540705680847168,0.36328125,6,distilbert_sst2.layer4.gelu.ffn_activation;distilbert_sst2.layer4.layernorm.attention_layernorm;distilbert_sst2.layer4.layernorm.ffn_layernorm;distilbert_sst2.layer5.gelu.ffn_activation;distilbert_sst2.layer5.layernorm.attention_layernorm;distilbert_sst2.layer5.layernorm.ffn_layernorm
