operator_id,layer_index,operator_type,operator_name,from_candidate_id,to_candidate_id,accepted,reason,benefit,cost_saving,single_accuracy_drop,combined_accuracy,combined_accuracy_drop,combined_logit_kl,combined_label_flip_rate
distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_logit_kl+max_label_flip_rate,2349999999.9999976,2.349999999999998,0.0,0.96875,0.0234375,0.12372574955224991,0.0390625
distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_logit_kl+max_label_flip_rate,142241525.14072037,6.800000000000001,0.0,0.96875,0.0234375,0.1236826479434967,0.0390625
distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_logit_kl+max_label_flip_rate,100958721.15318319,2.349999999999998,0.0,0.96875,0.0234375,0.12372145801782608,0.0390625
distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,86304985.15325785,15.25,0.0,0.96875,0.0234375,0.12314540147781372,0.0390625
distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_logit_kl+max_label_flip_rate,54460763.24324724,6.800000000000001,0.0,0.96875,0.0234375,0.1236567273736,0.0390625
distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_logit_kl+max_label_flip_rate,37053890.66521609,2.349999999999998,0.0,0.96875,0.0234375,0.1236635223031044,0.0390625
distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,ffn_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,18892113.340308867,15.25,0.0,0.96875,0.0234375,0.12470439076423645,0.0390625
distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_logit_kl+max_label_flip_rate,6275275.924342456,6.800000000000001,0.0,0.96875,0.0234375,0.12534984946250916,0.0390625
distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,6056611.14874745,15.25,0.0,0.97265625,0.01953125,0.09563872963190079,0.03515625
distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,4461441.696006147,15.25,0.0,0.97265625,0.01953125,0.12228889763355255,0.03515625
distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,3763055.4553998807,15.25,0.0,0.96875,0.0234375,0.12398207187652588,0.0390625
distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,2529950.7701986535,15.25,0.0,0.96875,0.0234375,0.12057414650917053,0.0390625
distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,ffn_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,1790163.7148409153,15.25,0.0,0.96875,0.0234375,0.12278471142053604,0.0390625
distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.centered.mid_cost.v1,False,violates_max_logit_kl+max_label_flip_rate,1400481.7174972163,22.6,0.0,0.96875,0.0234375,0.12312866747379303,0.0390625
distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.affine.low_cost.v1,False,below_min_quality_rank,1373427.876069416,26.5,0.0,,,,
distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_logit_kl+max_label_flip_rate,1365748.992952881,2.349999999999998,0.0,0.96875,0.0234375,0.12173491716384888,0.0390625
distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree5.v1,False,violates_max_logit_kl+max_label_flip_rate,1317575.861491603,11.650000000000002,0.0,0.96875,0.0234375,0.12612995505332947,0.0390625
distilbert_sst2.layer0.layernorm.attention_layernorm,0,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,1028710.3196108171,15.25,0.0,0.96875,0.0234375,0.12376703321933746,0.0390625
distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.affine.low_cost.v1,False,below_min_quality_rank,781263.6248560656,26.5,0.0,,,,
distilbert_sst2.layer0.gelu.ffn_activation,0,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_logit_kl+max_label_flip_rate,730321.5153662742,2.349999999999998,0.0,0.96875,0.0234375,0.12173270434141159,0.0390625
distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.centered.mid_cost.v1,False,violates_max_logit_kl+max_label_flip_rate,642115.8216432609,22.6,0.0,0.96875,0.0234375,0.12201927602291107,0.0390625
distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_logit_kl+max_label_flip_rate,600525.4738207847,6.800000000000001,0.0,0.97265625,0.01953125,0.1304788589477539,0.03515625
distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree5.v1,False,violates_max_logit_kl+max_label_flip_rate,571395.0597936409,11.650000000000002,0.0,0.96484375,0.02734375,0.1311751753091812,0.04296875
distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_logit_kl+max_label_flip_rate,328138.6288766175,2.349999999999998,0.0,0.97265625,0.01953125,0.1245599165558815,0.03515625
distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_logit_kl+max_label_flip_rate,190519.84026522358,6.800000000000001,0.0,0.97265625,0.01953125,0.12049410492181778,0.03515625
distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.affine.low_cost.v1,False,below_min_quality_rank,161403.98584276807,26.5,0.0,,,,
distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.centered.mid_cost.v1,False,violates_max_logit_kl+max_label_flip_rate,150556.57477137676,22.6,0.0,0.9765625,0.015625,0.1139005571603775,0.03125
distilbert_sst2.layer3.layernorm.ffn_layernorm,3,layernorm,ffn_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_logit_kl+max_label_flip_rate,138655.00789800897,15.25,0.0,0.96875,0.0234375,0.13602277636528015,0.0390625
distilbert_sst2.layer0.gelu.ffn_activation,0,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_logit_kl+max_label_flip_rate,92896.66789287746,6.800000000000001,0.0,0.97265625,0.01953125,0.11761187762022018,0.03515625
distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree5.v1,False,violates_max_logit_kl+max_label_flip_rate,63717.10937566933,11.650000000000002,0.0,0.96875,0.0234375,0.14236170053482056,0.0390625
distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.affine.low_cost.v1,False,below_min_quality_rank,56803.54962516222,26.5,0.0,,,,
distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,ffn_layernorm,layernorm.exact.high.v1,layernorm.affine.low_cost.v1,False,below_min_quality_rank,43294.06087690072,26.5,0.0,,,,
distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,ffn_layernorm,layernorm.exact.high.v1,layernorm.centered.mid_cost.v1,False,violates_max_logit_kl+max_label_flip_rate,36822.02384385451,22.6,0.0,0.96875,0.0234375,0.13701902329921722,0.0390625
distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.centered.mid_cost.v1,True,accepted,22445.32620327601,22.6,0.0,0.9921875,0.0,0.010920350439846516,0.0078125
distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.affine.low_cost.v1,False,below_min_quality_rank,13012.47223752372,26.5,0.0,,,,
distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,ffn_layernorm,layernorm.exact.high.v1,layernorm.centered.mid_cost.v1,True,accepted,12897.65315850226,22.6,0.0,0.984375,0.0078125,0.01868997886776924,0.0078125
