schedule,segment_index,required,status,reason,available_levels,bootstrap_supported,bootstrap_before_operator_id,layer_index,operator_type,candidate_id,levels_used_before,operator_level_cost
base,0,False,no_bootstrap_required,within_level_budget,4,False,,,,,0,0
hetune_generated,0,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer0.gelu.ffn_activation,0,gelu,gelu.exact.high.v1,0,6
hetune_generated,1,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,softmax.exact.high.v1,0,6
hetune_generated,2,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer0.layernorm.ffn_layernorm,0,layernorm,layernorm.exact.high.v1,1,5
hetune_generated,3,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,gelu.exact.high.v1,0,6
hetune_generated,4,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,softmax.exact.high.v1,0,6
hetune_generated,5,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,layernorm.exact.high.v1,0,5
hetune_generated,6,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer1.layernorm.ffn_layernorm,1,layernorm,layernorm.exact.high.v1,0,5
hetune_generated,7,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,gelu.exact.high.v1,0,6
hetune_generated,8,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,softmax.exact.high.v1,0,6
hetune_generated,9,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,layernorm.exact.high.v1,0,5
hetune_generated,10,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,gelu.exact.high.v1,3,6
hetune_generated,11,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,layernorm.exact.high.v1,4,5
hetune_generated,12,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer3.layernorm.ffn_layernorm,3,layernorm,layernorm.exact.high.v1,0,5
hetune_generated,13,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,gelu.exact.high.v1,0,6
hetune_generated,14,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,softmax.exact.high.v1,0,6
hetune_generated,15,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,layernorm.exact.high.v1,0,5
hetune_generated,16,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,layernorm.exact.high.v1,0,5
hetune_generated,17,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,gelu.exact.high.v1,0,6
hetune_generated,18,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,softmax.exact.high.v1,0,6
hetune_generated,19,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,layernorm.exact.high.v1,0,5
hetune_generated,20,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,layernorm.exact.high.v1,0,5
uniform_low,0,True,unsupported,level_budget_exceeded,4,False,distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,gelu.poly.degree2.v1,4,1
uniform_low,1,True,unsupported,level_budget_exceeded,4,False,distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,gelu.poly.degree2.v1,4,1
uniform_mid,0,True,unsupported,level_budget_exceeded,4,False,distilbert_sst2.layer0.layernorm.attention_layernorm,0,layernorm,layernorm.centered.mid_cost.v1,4,1
uniform_mid,1,True,unsupported,level_budget_exceeded,4,False,distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,softmax.poly_exp.degree2.v1,4,2
uniform_mid,2,True,unsupported,level_budget_exceeded,4,False,distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,gelu.poly.degree3.v1,4,2
uniform_mid,3,True,unsupported,level_budget_exceeded,4,False,distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,layernorm.centered.mid_cost.v1,4,1
uniform_mid,4,True,unsupported,level_budget_exceeded,4,False,distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,softmax.poly_exp.degree2.v1,4,2
uniform_mid,5,True,unsupported,level_budget_exceeded,4,False,distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,gelu.poly.degree3.v1,4,2
uniform_mid,6,True,unsupported,level_budget_exceeded,4,False,distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,layernorm.centered.mid_cost.v1,4,1
uniform_mid,7,True,unsupported,level_budget_exceeded,4,False,distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,softmax.poly_exp.degree2.v1,4,2
uniform_high,0,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer0.gelu.ffn_activation,0,gelu,gelu.exact.high.v1,0,6
uniform_high,1,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,softmax.exact.high.v1,0,6
uniform_high,2,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer0.layernorm.attention_layernorm,0,layernorm,layernorm.exact.high.v1,0,5
uniform_high,3,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer0.layernorm.ffn_layernorm,0,layernorm,layernorm.exact.high.v1,0,5
uniform_high,4,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,gelu.exact.high.v1,0,6
uniform_high,5,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,softmax.exact.high.v1,0,6
uniform_high,6,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,layernorm.exact.high.v1,0,5
uniform_high,7,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer1.layernorm.ffn_layernorm,1,layernorm,layernorm.exact.high.v1,0,5
uniform_high,8,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,gelu.exact.high.v1,0,6
uniform_high,9,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,softmax.exact.high.v1,0,6
uniform_high,10,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,layernorm.exact.high.v1,0,5
uniform_high,11,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer2.layernorm.ffn_layernorm,2,layernorm,layernorm.exact.high.v1,0,5
uniform_high,12,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,gelu.exact.high.v1,0,6
uniform_high,13,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,softmax.exact.high.v1,0,6
uniform_high,14,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,layernorm.exact.high.v1,0,5
uniform_high,15,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer3.layernorm.ffn_layernorm,3,layernorm,layernorm.exact.high.v1,0,5
uniform_high,16,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,gelu.exact.high.v1,0,6
uniform_high,17,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,softmax.exact.high.v1,0,6
uniform_high,18,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,layernorm.exact.high.v1,0,5
uniform_high,19,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,layernorm.exact.high.v1,0,5
uniform_high,20,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,gelu.exact.high.v1,0,6
uniform_high,21,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,softmax.exact.high.v1,0,6
uniform_high,22,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,layernorm.exact.high.v1,0,5
uniform_high,23,True,unsupported,single_operator_exceeds_available_levels,4,False,distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,layernorm.exact.high.v1,0,5
