schedule,entry_order,operator_id,layer_index,operator_type,operator_name,candidate_id,ckks_param_id,scale_id,level_budget,bootstrap_policy,layout_id,cost_source,latency_ms,rotations,ct_ct_mults,ct_pt_mults,rescale_count,relin_count,depth,bootstrap_count,memory_mb,level_cost,weighted_cost
base,0,distilbert_sst2.layer0.gelu.ffn_activation,0,gelu,ffn_activation,gelu.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,1,distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,softmax.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,2,distilbert_sst2.layer0.layernorm.attention_layernorm,0,layernorm,attention_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,3,distilbert_sst2.layer0.layernorm.ffn_layernorm,0,layernorm,ffn_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,4,distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,ffn_activation,gelu.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,5,distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,softmax.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,6,distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,attention_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,7,distilbert_sst2.layer1.layernorm.ffn_layernorm,1,layernorm,ffn_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,8,distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,ffn_activation,gelu.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,9,distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,softmax.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,10,distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,attention_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,11,distilbert_sst2.layer2.layernorm.ffn_layernorm,2,layernorm,ffn_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,12,distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,13,distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,softmax.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,14,distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,attention_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,15,distilbert_sst2.layer3.layernorm.ffn_layernorm,3,layernorm,ffn_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,16,distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,17,distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,softmax.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,18,distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,19,distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,ffn_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,20,distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,21,distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,softmax.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,22,distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,attention_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,23,distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,ffn_layernorm,layernorm.base,static_ckks_128,scale_2_40,0,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
hetune_generated,0,distilbert_sst2.layer0.gelu.ffn_activation,0,gelu,ffn_activation,gelu.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,7.6,0,6,0,6,3,6,0,34.0,6,26.54
hetune_generated,1,distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,softmax.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,18.5,18,6,0,6,3,6,0,96.0,6,38.96
hetune_generated,2,distilbert_sst2.layer0.layernorm.attention_layernorm,0,layernorm,attention_layernorm,layernorm.centered.mid_cost.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,3.0,4,1,2,1,0,1,0,34.0,1,6.74
hetune_generated,3,distilbert_sst2.layer0.layernorm.ffn_layernorm,0,layernorm,ffn_layernorm,layernorm.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,11.8,10,5,2,5,2,5,0,64.0,5,28.540000000000003
hetune_generated,4,distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,ffn_activation,gelu.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,7.6,0,6,0,6,3,6,0,34.0,6,26.54
hetune_generated,5,distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,softmax.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,18.5,18,6,0,6,3,6,0,96.0,6,38.96
hetune_generated,6,distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,attention_layernorm,layernorm.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,11.8,10,5,2,5,2,5,0,64.0,5,28.540000000000003
hetune_generated,7,distilbert_sst2.layer1.layernorm.ffn_layernorm,1,layernorm,ffn_layernorm,layernorm.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,11.8,10,5,2,5,2,5,0,64.0,5,28.540000000000003
hetune_generated,8,distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,ffn_activation,gelu.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,7.6,0,6,0,6,3,6,0,34.0,6,26.54
hetune_generated,9,distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,softmax.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,18.5,18,6,0,6,3,6,0,96.0,6,38.96
hetune_generated,10,distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,attention_layernorm,layernorm.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,11.8,10,5,2,5,2,5,0,64.0,5,28.540000000000003
hetune_generated,11,distilbert_sst2.layer2.layernorm.ffn_layernorm,2,layernorm,ffn_layernorm,layernorm.newton.low_iter.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,6.4,8,3,2,3,1,3,0,48.0,3,16.680000000000003
hetune_generated,12,distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,7.6,0,6,0,6,3,6,0,34.0,6,26.54
hetune_generated,13,distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,softmax.clipped.stable.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,12.2,14,4,2,4,2,4,0,82.0,4,26.42
hetune_generated,14,distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,attention_layernorm,layernorm.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,11.8,10,5,2,5,2,5,0,64.0,5,28.540000000000003
hetune_generated,15,distilbert_sst2.layer3.layernorm.ffn_layernorm,3,layernorm,ffn_layernorm,layernorm.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,11.8,10,5,2,5,2,5,0,64.0,5,28.540000000000003
hetune_generated,16,distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,7.6,0,6,0,6,3,6,0,34.0,6,26.54
hetune_generated,17,distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,softmax.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,18.5,18,6,0,6,3,6,0,96.0,6,38.96
hetune_generated,18,distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,11.8,10,5,2,5,2,5,0,64.0,5,28.540000000000003
hetune_generated,19,distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,ffn_layernorm,layernorm.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,11.8,10,5,2,5,2,5,0,64.0,5,28.540000000000003
hetune_generated,20,distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,7.6,0,6,0,6,3,6,0,34.0,6,26.54
hetune_generated,21,distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,softmax.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,18.5,18,6,0,6,3,6,0,96.0,6,38.96
hetune_generated,22,distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,attention_layernorm,layernorm.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,11.8,10,5,2,5,2,5,0,64.0,5,28.540000000000003
hetune_generated,23,distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,ffn_layernorm,layernorm.exact.high.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,11.8,10,5,2,5,2,5,0,64.0,5,28.540000000000003
uniform_low,0,distilbert_sst2.layer0.gelu.ffn_activation,0,gelu,ffn_activation,gelu.poly.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,1.2,0,1,2,1,0,1,0,16.0,1,4.5600000000000005
uniform_low,1,distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,softmax.power.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,4.6,8,1,2,1,0,1,0,52.0,1,8.719999999999999
uniform_low,2,distilbert_sst2.layer0.layernorm.attention_layernorm,0,layernorm,attention_layernorm,layernorm.affine.low_cost.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,0.9,0,0,1,0,0,0,0,18.0,0,1.23
uniform_low,3,distilbert_sst2.layer0.layernorm.ffn_layernorm,0,layernorm,ffn_layernorm,layernorm.affine.low_cost.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,0.9,0,0,1,0,0,0,0,18.0,0,1.23
uniform_low,4,distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,ffn_activation,gelu.poly.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,1.2,0,1,2,1,0,1,0,16.0,1,4.5600000000000005
uniform_low,5,distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,softmax.power.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,4.6,8,1,2,1,0,1,0,52.0,1,8.719999999999999
uniform_low,6,distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,attention_layernorm,layernorm.affine.low_cost.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,0.9,0,0,1,0,0,0,0,18.0,0,1.23
uniform_low,7,distilbert_sst2.layer1.layernorm.ffn_layernorm,1,layernorm,ffn_layernorm,layernorm.affine.low_cost.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,0.9,0,0,1,0,0,0,0,18.0,0,1.23
uniform_low,8,distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,ffn_activation,gelu.poly.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,1.2,0,1,2,1,0,1,0,16.0,1,4.5600000000000005
uniform_low,9,distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,softmax.power.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,4.6,8,1,2,1,0,1,0,52.0,1,8.719999999999999
uniform_low,10,distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,attention_layernorm,layernorm.affine.low_cost.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,0.9,0,0,1,0,0,0,0,18.0,0,1.23
uniform_low,11,distilbert_sst2.layer2.layernorm.ffn_layernorm,2,layernorm,ffn_layernorm,layernorm.affine.low_cost.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,0.9,0,0,1,0,0,0,0,18.0,0,1.23
uniform_low,12,distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.poly.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,1.2,0,1,2,1,0,1,0,16.0,1,4.5600000000000005
uniform_low,13,distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,softmax.power.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,4.6,8,1,2,1,0,1,0,52.0,1,8.719999999999999
uniform_low,14,distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,attention_layernorm,layernorm.affine.low_cost.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,0.9,0,0,1,0,0,0,0,18.0,0,1.23
uniform_low,15,distilbert_sst2.layer3.layernorm.ffn_layernorm,3,layernorm,ffn_layernorm,layernorm.affine.low_cost.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,0.9,0,0,1,0,0,0,0,18.0,0,1.23
uniform_low,16,distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.poly.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,1.2,0,1,2,1,0,1,0,16.0,1,4.5600000000000005
uniform_low,17,distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,softmax.power.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,4.6,8,1,2,1,0,1,0,52.0,1,8.719999999999999
uniform_low,18,distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.affine.low_cost.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,0.9,0,0,1,0,0,0,0,18.0,0,1.23
uniform_low,19,distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,ffn_layernorm,layernorm.affine.low_cost.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,0.9,0,0,1,0,0,0,0,18.0,0,1.23
uniform_low,20,distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.poly.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,1.2,0,1,2,1,0,1,0,16.0,1,4.5600000000000005
uniform_low,21,distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,softmax.power.degree2.v1,static_ckks_128,scale_2_40,0,none,plaintext_sim,profile,4.6,8,1,2,1,0,1,0,52.0,1,8.719999999999999
