diagnostic,accuracy,accuracy_drop,logit_kl,label_flip_rate,downgraded_operator_count,operator_ids
baseline_high,0.9765625,0.0,0.0,0.0,0,
layer_0_low,0.4921875,0.484375,0.8437407612800598,0.4921875,4,distilbert_sst2.layer0.gelu.ffn_activation;distilbert_sst2.layer0.layernorm.attention_layernorm;distilbert_sst2.layer0.layernorm.ffn_layernorm;distilbert_sst2.layer0.softmax.attention_softmax
layer_1_low,0.4921875,0.484375,1.2469854354858398,0.4921875,4,distilbert_sst2.layer1.gelu.ffn_activation;distilbert_sst2.layer1.layernorm.attention_layernorm;distilbert_sst2.layer1.layernorm.ffn_layernorm;distilbert_sst2.layer1.softmax.attention_softmax
layer_2_low,0.4921875,0.484375,0.7238026857376099,0.4921875,4,distilbert_sst2.layer2.gelu.ffn_activation;distilbert_sst2.layer2.layernorm.attention_layernorm;distilbert_sst2.layer2.layernorm.ffn_layernorm;distilbert_sst2.layer2.softmax.attention_softmax
layer_3_low,0.4921875,0.484375,0.9212669134140015,0.4921875,4,distilbert_sst2.layer3.gelu.ffn_activation;distilbert_sst2.layer3.layernorm.attention_layernorm;distilbert_sst2.layer3.layernorm.ffn_layernorm;distilbert_sst2.layer3.softmax.attention_softmax
layer_4_low,0.9375,0.0390625,0.179275780916214,0.046875,4,distilbert_sst2.layer4.gelu.ffn_activation;distilbert_sst2.layer4.layernorm.attention_layernorm;distilbert_sst2.layer4.layernorm.ffn_layernorm;distilbert_sst2.layer4.softmax.attention_softmax
layer_5_low,0.9765625,0.0,0.058816440403461456,0.0078125,4,distilbert_sst2.layer5.gelu.ffn_activation;distilbert_sst2.layer5.layernorm.attention_layernorm;distilbert_sst2.layer5.layernorm.ffn_layernorm;distilbert_sst2.layer5.softmax.attention_softmax
layers_0_1_low,0.4921875,0.484375,2.067066192626953,0.4921875,8,distilbert_sst2.layer0.gelu.ffn_activation;distilbert_sst2.layer0.layernorm.attention_layernorm;distilbert_sst2.layer0.layernorm.ffn_layernorm;distilbert_sst2.layer0.softmax.attention_softmax;distilbert_sst2.layer1.gelu.ffn_activation;distilbert_sst2.layer1.layernorm.attention_layernorm;distilbert_sst2.layer1.layernorm.ffn_layernorm;distilbert_sst2.layer1.softmax.attention_softmax
layers_1_2_low,0.5390625,0.4375,9.623184204101562,0.46875,8,distilbert_sst2.layer1.gelu.ffn_activation;distilbert_sst2.layer1.layernorm.attention_layernorm;distilbert_sst2.layer1.layernorm.ffn_layernorm;distilbert_sst2.layer1.softmax.attention_softmax;distilbert_sst2.layer2.gelu.ffn_activation;distilbert_sst2.layer2.layernorm.attention_layernorm;distilbert_sst2.layer2.layernorm.ffn_layernorm;distilbert_sst2.layer2.softmax.attention_softmax
layers_2_3_low,0.44921875,0.52734375,5.836549282073975,0.55078125,8,distilbert_sst2.layer2.gelu.ffn_activation;distilbert_sst2.layer2.layernorm.attention_layernorm;distilbert_sst2.layer2.layernorm.ffn_layernorm;distilbert_sst2.layer2.softmax.attention_softmax;distilbert_sst2.layer3.gelu.ffn_activation;distilbert_sst2.layer3.layernorm.attention_layernorm;distilbert_sst2.layer3.layernorm.ffn_layernorm;distilbert_sst2.layer3.softmax.attention_softmax
layers_3_4_low,0.4921875,0.484375,10.121749877929688,0.4921875,8,distilbert_sst2.layer3.gelu.ffn_activation;distilbert_sst2.layer3.layernorm.attention_layernorm;distilbert_sst2.layer3.layernorm.ffn_layernorm;distilbert_sst2.layer3.softmax.attention_softmax;distilbert_sst2.layer4.gelu.ffn_activation;distilbert_sst2.layer4.layernorm.attention_layernorm;distilbert_sst2.layer4.layernorm.ffn_layernorm;distilbert_sst2.layer4.softmax.attention_softmax
layers_4_5_low,0.69921875,0.27734375,6.549991607666016,0.31640625,8,distilbert_sst2.layer4.gelu.ffn_activation;distilbert_sst2.layer4.layernorm.attention_layernorm;distilbert_sst2.layer4.layernorm.ffn_layernorm;distilbert_sst2.layer4.softmax.attention_softmax;distilbert_sst2.layer5.gelu.ffn_activation;distilbert_sst2.layer5.layernorm.attention_layernorm;distilbert_sst2.layer5.layernorm.ffn_layernorm;distilbert_sst2.layer5.softmax.attention_softmax
