operator_id,layer_index,operator_type,operator_name,from_candidate_id,to_candidate_id,accepted,reason,benefit,cost_saving,single_accuracy_drop,combined_accuracy,combined_accuracy_drop,combined_logit_kl,combined_label_flip_rate
distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,2349999999.9999976,2.349999999999998,0.0,0.9765625,0.015625,0.08757080137729645,0.03125
distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,142241525.14072037,6.800000000000001,0.0,0.9765625,0.015625,0.08756904304027557,0.03125
distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,100958721.15318319,2.349999999999998,0.0,0.9765625,0.015625,0.08759736269712448,0.03125
distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,86304985.15325785,15.25,0.0,0.9765625,0.015625,0.08736616373062134,0.03125
distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,54460763.24324724,6.800000000000001,0.0,0.9765625,0.015625,0.08758948743343353,0.03125
distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree11.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,37053890.66521609,2.349999999999998,0.0,0.9765625,0.015625,0.08764299750328064,0.03125
distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,ffn_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,18892113.340308867,15.25,0.0,0.9765625,0.015625,0.08841656148433685,0.03125
distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,softmax.exact.high.v1,softmax.clipped.stable.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,9256425.190983206,3.650000000000002,0.0,0.9765625,0.015625,0.08716467767953873,0.03125
distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.exact.high.v1,gelu.chebyshev.degree9.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,6275275.924342456,6.800000000000001,0.0,0.9765625,0.015625,0.08841121196746826,0.03125
distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,6056611.14874745,15.25,0.0,0.98046875,0.01171875,0.0656633973121643,0.02734375
distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,4461441.696006147,15.25,0.0,0.9765625,0.015625,0.08743610978126526,0.03125
distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,attention_layernorm,layernorm.exact.high.v1,layernorm.newton.low_iter.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,3763055.4553998807,15.25,0.0,0.9765625,0.015625,0.08789882063865662,0.03125
distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,softmax.exact.high.v1,softmax.clipped.stable.v1,False,violates_max_accuracy_drop+max_logit_kl+max_label_flip_rate,2547708.383426733,3.650000000000002,0.0,0.9765625,0.015625,0.08860372006893158,0.03125
