operator_id,candidate_id,parameter_name,shape,mean_abs,max_abs
distilbert_sst2.layer0.layernorm.attention_layernorm,layernorm.centered.mid_cost.v1,weight,[768],0.8416708111763,2.9720804691314697
distilbert_sst2.layer0.layernorm.attention_layernorm,layernorm.centered.mid_cost.v1,bias,[768],0.20407943427562714,4.3098320960998535
distilbert_sst2.layer0.layernorm.ffn_layernorm,layernorm.exact.high.v1,weight,[768],0.7473568320274353,0.8467799425125122
distilbert_sst2.layer0.layernorm.ffn_layernorm,layernorm.exact.high.v1,bias,[768],0.07462294399738312,1.3915774822235107
distilbert_sst2.layer1.layernorm.attention_layernorm,layernorm.exact.high.v1,weight,[768],0.782608687877655,2.0621235370635986
distilbert_sst2.layer1.layernorm.attention_layernorm,layernorm.exact.high.v1,bias,[768],0.13047507405281067,2.090104579925537
distilbert_sst2.layer1.layernorm.ffn_layernorm,layernorm.exact.high.v1,weight,[768],0.8260337710380554,0.9324061870574951
distilbert_sst2.layer1.layernorm.ffn_layernorm,layernorm.exact.high.v1,bias,[768],0.06448378413915634,0.31998178362846375
distilbert_sst2.layer2.layernorm.attention_layernorm,layernorm.exact.high.v1,weight,[768],0.7493194937705994,3.8982741832733154
distilbert_sst2.layer2.layernorm.attention_layernorm,layernorm.exact.high.v1,bias,[768],0.11183007806539536,1.3271007537841797
distilbert_sst2.layer2.layernorm.ffn_layernorm,layernorm.newton.low_iter.v1,weight,[768],0.8110931515693665,0.9395601153373718
distilbert_sst2.layer2.layernorm.ffn_layernorm,layernorm.newton.low_iter.v1,bias,[768],0.04867890477180481,0.2620299160480499
distilbert_sst2.layer3.layernorm.attention_layernorm,layernorm.exact.high.v1,weight,[768],0.7391521334648132,3.463374614715576
distilbert_sst2.layer3.layernorm.attention_layernorm,layernorm.exact.high.v1,bias,[768],0.11055069416761398,2.164457082748413
distilbert_sst2.layer3.layernorm.ffn_layernorm,layernorm.centered.mid_cost.v1,weight,[768],0.7748944163322449,1.1559574604034424
distilbert_sst2.layer3.layernorm.ffn_layernorm,layernorm.centered.mid_cost.v1,bias,[768],0.05346352979540825,0.9561997652053833
distilbert_sst2.layer4.layernorm.attention_layernorm,layernorm.exact.high.v1,weight,[768],0.7320746779441833,2.4783122539520264
distilbert_sst2.layer4.layernorm.attention_layernorm,layernorm.exact.high.v1,bias,[768],0.10059666633605957,1.4642571210861206
distilbert_sst2.layer4.layernorm.ffn_layernorm,layernorm.exact.high.v1,weight,[768],0.7767274975776672,1.4303908348083496
distilbert_sst2.layer4.layernorm.ffn_layernorm,layernorm.exact.high.v1,bias,[768],0.049311909824609756,0.40626659989356995
distilbert_sst2.layer5.layernorm.attention_layernorm,layernorm.exact.high.v1,weight,[768],0.7721359729766846,1.5371410846710205
distilbert_sst2.layer5.layernorm.attention_layernorm,layernorm.exact.high.v1,bias,[768],0.07388418912887573,2.149265766143799
distilbert_sst2.layer5.layernorm.ffn_layernorm,layernorm.exact.high.v1,weight,[768],0.6060487627983093,0.7495704889297485
distilbert_sst2.layer5.layernorm.ffn_layernorm,layernorm.exact.high.v1,bias,[768],0.03992551937699318,0.3653779625892639
