schedule,segment_index,required,status,reason,available_levels,bootstrap_supported,bootstrap_before_operator_id,layer_index,operator_type,candidate_id,levels_used_before,operator_level_cost
base,0,False,no_bootstrap_required,within_level_budget,6,True,,,,,0,0
hetune_generated,0,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,softmax.exact.high.v1,5,4
hetune_generated,1,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer0.layernorm.ffn_layernorm,0,layernorm,layernorm.exact.high.v1,5,6
hetune_generated,2,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,gelu.exact.high.v1,6,5
hetune_generated,3,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,softmax.exact.high.v1,5,4
hetune_generated,4,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,layernorm.exact.high.v1,4,6
hetune_generated,5,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer1.layernorm.ffn_layernorm,1,layernorm,layernorm.exact.high.v1,6,6
hetune_generated,6,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,gelu.exact.high.v1,6,5
hetune_generated,7,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,softmax.exact.high.v1,5,4
hetune_generated,8,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,layernorm.exact.high.v1,4,6
hetune_generated,9,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer2.layernorm.ffn_layernorm,2,layernorm,layernorm.newton.low_iter.v1,6,3
hetune_generated,10,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,gelu.exact.high.v1,3,5
hetune_generated,11,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,softmax.exact.high.v1,5,4
hetune_generated,12,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,layernorm.exact.high.v1,4,6
hetune_generated,13,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer3.layernorm.ffn_layernorm,3,layernorm,layernorm.centered.mid_cost.v1,6,1
hetune_generated,14,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,softmax.exact.high.v1,6,4
hetune_generated,15,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,layernorm.exact.high.v1,4,6
hetune_generated,16,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,layernorm.exact.high.v1,6,6
hetune_generated,17,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,gelu.exact.high.v1,6,5
hetune_generated,18,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,softmax.exact.high.v1,5,4
hetune_generated,19,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,layernorm.exact.high.v1,4,6
hetune_generated,20,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,layernorm.exact.high.v1,6,6
uniform_low,0,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,gelu.poly.degree2.v1,6,1
uniform_mid,0,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,gelu.poly.degree3.v1,6,2
uniform_mid,1,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,gelu.poly.degree3.v1,6,2
uniform_mid,2,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,gelu.poly.degree3.v1,6,2
uniform_mid,3,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,gelu.poly.degree3.v1,6,2
uniform_mid,4,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,gelu.poly.degree3.v1,6,2
uniform_high,0,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,softmax.exact.high.v1,5,4
uniform_high,1,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer0.layernorm.attention_layernorm,0,layernorm,layernorm.exact.high.v1,4,6
uniform_high,2,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer0.layernorm.ffn_layernorm,0,layernorm,layernorm.exact.high.v1,6,6
uniform_high,3,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,gelu.exact.high.v1,6,5
uniform_high,4,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,softmax.exact.high.v1,5,4
uniform_high,5,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,layernorm.exact.high.v1,4,6
uniform_high,6,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer1.layernorm.ffn_layernorm,1,layernorm,layernorm.exact.high.v1,6,6
uniform_high,7,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,gelu.exact.high.v1,6,5
uniform_high,8,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,softmax.exact.high.v1,5,4
uniform_high,9,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,layernorm.exact.high.v1,4,6
uniform_high,10,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer2.layernorm.ffn_layernorm,2,layernorm,layernorm.exact.high.v1,6,6
uniform_high,11,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,gelu.exact.high.v1,6,5
uniform_high,12,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,softmax.exact.high.v1,5,4
uniform_high,13,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,layernorm.exact.high.v1,4,6
uniform_high,14,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer3.layernorm.ffn_layernorm,3,layernorm,layernorm.exact.high.v1,6,6
uniform_high,15,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,gelu.exact.high.v1,6,5
uniform_high,16,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,softmax.exact.high.v1,5,4
uniform_high,17,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,layernorm.exact.high.v1,4,6
uniform_high,18,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,layernorm.exact.high.v1,6,6
uniform_high,19,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,gelu.exact.high.v1,6,5
uniform_high,20,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,softmax.exact.high.v1,5,4
uniform_high,21,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,layernorm.exact.high.v1,4,6
uniform_high,22,True,supported,level_budget_exceeded,6,True,distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,layernorm.exact.high.v1,6,6
