schedule,entry_order,operator_id,layer_index,operator_type,operator_name,candidate_id,ckks_param_id,scale_id,level_budget,bootstrap_policy,layout_id,cost_source,latency_ms,rotations,ct_ct_mults,ct_pt_mults,rescale_count,relin_count,depth,bootstrap_count,memory_mb,level_cost,weighted_cost
base,0,distilbert_sst2.layer0.gelu.ffn_activation,0,gelu,ffn_activation,gelu.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,1,distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,softmax.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,2,distilbert_sst2.layer0.layernorm.attention_layernorm,0,layernorm,attention_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,3,distilbert_sst2.layer0.layernorm.ffn_layernorm,0,layernorm,ffn_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,4,distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,ffn_activation,gelu.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,5,distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,softmax.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,6,distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,attention_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,7,distilbert_sst2.layer1.layernorm.ffn_layernorm,1,layernorm,ffn_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,8,distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,ffn_activation,gelu.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,9,distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,softmax.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,10,distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,attention_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,11,distilbert_sst2.layer2.layernorm.ffn_layernorm,2,layernorm,ffn_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,12,distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,13,distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,softmax.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,14,distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,attention_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,15,distilbert_sst2.layer3.layernorm.ffn_layernorm,3,layernorm,ffn_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,16,distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,17,distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,softmax.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,18,distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,19,distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,ffn_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,20,distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,21,distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,softmax.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,22,distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,attention_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
base,23,distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,ffn_layernorm,layernorm.base,seal_profiled_bootstrap,scale_2_40,6,none,plaintext_reference,static_fallback,0.0,0,0,0,0,0,0,0,0.0,0,0.0
hetune_generated,0,distilbert_sst2.layer0.gelu.ffn_activation,0,gelu,ffn_activation,gelu.exact.high.v1,seal_profiled_bootstrap,scale_2_40,6,none,ckks_profiled,profile,7.98,0,6,7,5,0,5,0,0.0,5,24.53
hetune_generated,1,distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,softmax.exact.high.v1,seal_profiled_bootstrap,scale_2_40,6,bootstrap_before,ckks_profiled,profile,9.12,3,4,4,4,0,4,0,0.0,4,21.47
hetune_generated,2,distilbert_sst2.layer0.layernorm.attention_layernorm,0,layernorm,attention_layernorm,layernorm.centered.mid_cost.v1,seal_profiled_bootstrap,scale_2_40,2,none,ckks_profiled,profile,1.368,1,1,2,1,0,1,0,0.0,1,4.618
hetune_generated,3,distilbert_sst2.layer0.layernorm.ffn_layernorm,0,layernorm,ffn_layernorm,layernorm.exact.high.v1,seal_profiled_bootstrap,scale_2_40,6,bootstrap_before,ckks_profiled,profile,9.69,2,6,7,6,0,6,0,0.0,6,28.240000000000002
hetune_generated,4,distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,ffn_activation,gelu.exact.high.v1,seal_profiled_bootstrap,scale_2_40,6,bootstrap_before,ckks_profiled,profile,7.98,0,6,7,5,0,5,0,0.0,5,24.53
hetune_generated,5,distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,softmax.exact.high.v1,seal_profiled_bootstrap,scale_2_40,6,bootstrap_before,ckks_profiled,profile,9.12,3,4,4,4,0,4,0,0.0,4,21.47
