schedule,operator_type,candidate_id,entries,profile_entries,static_fallback_entries,profile_coverage_rate
base,gelu,gelu.base,6,0,6,0.0
base,layernorm,layernorm.base,12,0,12,0.0
base,softmax,softmax.base,6,0,6,0.0
hetune_generated,gelu,gelu.exact.high.v1,6,6,0,1.0
hetune_generated,layernorm,layernorm.centered.mid_cost.v1,2,2,0,1.0
hetune_generated,layernorm,layernorm.exact.high.v1,9,9,0,1.0
hetune_generated,layernorm,layernorm.newton.low_iter.v1,1,1,0,1.0
hetune_generated,softmax,softmax.exact.high.v1,6,6,0,1.0
uniform_high,gelu,gelu.exact.high.v1,6,6,0,1.0
uniform_high,layernorm,layernorm.exact.high.v1,12,12,0,1.0
uniform_high,softmax,softmax.exact.high.v1,6,6,0,1.0
uniform_low,gelu,gelu.poly.degree2.v1,6,6,0,1.0
uniform_low,layernorm,layernorm.affine.low_cost.v1,12,12,0,1.0
uniform_low,softmax,softmax.power.degree2.v1,6,6,0,1.0
uniform_mid,gelu,gelu.poly.degree3.v1,6,6,0,1.0
uniform_mid,layernorm,layernorm.centered.mid_cost.v1,12,12,0,1.0
uniform_mid,softmax,softmax.poly_exp.degree2.v1,6,6,0,1.0
