diagnostic,accuracy,accuracy_drop,logit_kl,label_flip_rate,downgraded_operator_count,operator_ids
baseline_high,0.9765625,0.0,0.0,0.0,0,
layer_0_low,0.83203125,0.14453125,0.4096512794494629,0.14453125,4,distilbert_sst2.layer0.gelu.ffn_activation;distilbert_sst2.layer0.layernorm.attention_layernorm;distilbert_sst2.layer0.layernorm.ffn_layernorm;distilbert_sst2.layer0.softmax.attention_softmax
layer_1_low,0.4921875,0.484375,1.1751807928085327,0.4921875,4,distilbert_sst2.layer1.gelu.ffn_activation;distilbert_sst2.layer1.layernorm.attention_layernorm;distilbert_sst2.layer1.layernorm.ffn_layernorm;distilbert_sst2.layer1.softmax.attention_softmax
layer_2_low,0.6875,0.2890625,0.7614694833755493,0.296875,4,distilbert_sst2.layer2.gelu.ffn_activation;distilbert_sst2.layer2.layernorm.attention_layernorm;distilbert_sst2.layer2.layernorm.ffn_layernorm;distilbert_sst2.layer2.softmax.attention_softmax
layer_3_low,0.8203125,0.15625,0.46295595169067383,0.1640625,4,distilbert_sst2.layer3.gelu.ffn_activation;distilbert_sst2.layer3.layernorm.attention_layernorm;distilbert_sst2.layer3.layernorm.ffn_layernorm;distilbert_sst2.layer3.softmax.attention_softmax
layer_4_low,0.96875,0.0078125,0.017706559970974922,0.0078125,4,distilbert_sst2.layer4.gelu.ffn_activation;distilbert_sst2.layer4.layernorm.attention_layernorm;distilbert_sst2.layer4.layernorm.ffn_layernorm;distilbert_sst2.layer4.softmax.attention_softmax
layer_5_low,0.9765625,0.0,0.01564333774149418,0.0,4,distilbert_sst2.layer5.gelu.ffn_activation;distilbert_sst2.layer5.layernorm.attention_layernorm;distilbert_sst2.layer5.layernorm.ffn_layernorm;distilbert_sst2.layer5.softmax.attention_softmax
layers_0_1_low,0.4921875,0.484375,1.0856761932373047,0.4921875,8,distilbert_sst2.layer0.gelu.ffn_activation;distilbert_sst2.layer0.layernorm.attention_layernorm;distilbert_sst2.layer0.layernorm.ffn_layernorm;distilbert_sst2.layer0.softmax.attention_softmax;distilbert_sst2.layer1.gelu.ffn_activation;distilbert_sst2.layer1.layernorm.attention_layernorm;distilbert_sst2.layer1.layernorm.ffn_layernorm;distilbert_sst2.layer1.softmax.attention_softmax
layers_1_2_low,0.4921875,0.484375,0.8378996253013611,0.4921875,8,distilbert_sst2.layer1.gelu.ffn_activation;distilbert_sst2.layer1.layernorm.attention_layernorm;distilbert_sst2.layer1.layernorm.ffn_layernorm;distilbert_sst2.layer1.softmax.attention_softmax;distilbert_sst2.layer2.gelu.ffn_activation;distilbert_sst2.layer2.layernorm.attention_layernorm;distilbert_sst2.layer2.layernorm.ffn_layernorm;distilbert_sst2.layer2.softmax.attention_softmax
layers_2_3_low,0.4921875,0.484375,2.284071922302246,0.4921875,8,distilbert_sst2.layer2.gelu.ffn_activation;distilbert_sst2.layer2.layernorm.attention_layernorm;distilbert_sst2.layer2.layernorm.ffn_layernorm;distilbert_sst2.layer2.softmax.attention_softmax;distilbert_sst2.layer3.gelu.ffn_activation;distilbert_sst2.layer3.layernorm.attention_layernorm;distilbert_sst2.layer3.layernorm.ffn_layernorm;distilbert_sst2.layer3.softmax.attention_softmax
layers_3_4_low,0.7421875,0.234375,0.657001793384552,0.2421875,8,distilbert_sst2.layer3.gelu.ffn_activation;distilbert_sst2.layer3.layernorm.attention_layernorm;distilbert_sst2.layer3.layernorm.ffn_layernorm;distilbert_sst2.layer3.softmax.attention_softmax;distilbert_sst2.layer4.gelu.ffn_activation;distilbert_sst2.layer4.layernorm.attention_layernorm;distilbert_sst2.layer4.layernorm.ffn_layernorm;distilbert_sst2.layer4.softmax.attention_softmax
layers_4_5_low,0.9609375,0.015625,0.04513930156826973,0.015625,8,distilbert_sst2.layer4.gelu.ffn_activation;distilbert_sst2.layer4.layernorm.attention_layernorm;distilbert_sst2.layer4.layernorm.ffn_layernorm;distilbert_sst2.layer4.softmax.attention_softmax;distilbert_sst2.layer5.gelu.ffn_activation;distilbert_sst2.layer5.layernorm.attention_layernorm;distilbert_sst2.layer5.layernorm.ffn_layernorm;distilbert_sst2.layer5.softmax.attention_softmax
