operator_id,layer_index,operator_type,operator_name,candidate_id,ckks_param_id,level_budget,bootstrap_policy,cost_source,latency_ms,rotations,ct_ct_mults,ct_pt_mults,rescale_count,relin_count,depth,bootstrap_count,memory_mb
distilbert_sst2.layer0.gelu.ffn_activation,0,gelu,ffn_activation,gelu.exact.high.v1,seal_profiled_bootstrap,6,none,profile,7.98,0,6,7,5,0,5,0,0.0
distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,softmax.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.12,3,4,4,4,0,4,0,0.0
distilbert_sst2.layer0.layernorm.attention_layernorm,0,layernorm,attention_layernorm,layernorm.centered.mid_cost.v1,seal_profiled_bootstrap,2,none,profile,1.368,1,1,2,1,0,1,0,0.0
distilbert_sst2.layer0.layernorm.ffn_layernorm,0,layernorm,ffn_layernorm,layernorm.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.69,2,6,7,6,0,6,0,0.0
distilbert_sst2.layer1.gelu.ffn_activation,1,gelu,ffn_activation,gelu.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,7.98,0,6,7,5,0,5,0,0.0
distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,softmax.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.12,3,4,4,4,0,4,0,0.0
distilbert_sst2.layer1.layernorm.attention_layernorm,1,layernorm,attention_layernorm,layernorm.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.69,2,6,7,6,0,6,0,0.0
distilbert_sst2.layer1.layernorm.ffn_layernorm,1,layernorm,ffn_layernorm,layernorm.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.69,2,6,7,6,0,6,0,0.0
distilbert_sst2.layer2.gelu.ffn_activation,2,gelu,ffn_activation,gelu.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,7.98,0,6,7,5,0,5,0,0.0
distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,softmax.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.12,3,4,4,4,0,4,0,0.0
distilbert_sst2.layer2.layernorm.attention_layernorm,2,layernorm,attention_layernorm,layernorm.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.69,2,6,7,6,0,6,0,0.0
distilbert_sst2.layer2.layernorm.ffn_layernorm,2,layernorm,ffn_layernorm,layernorm.newton.low_iter.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,3.42,2,3,0,3,0,3,0,0.0
distilbert_sst2.layer3.gelu.ffn_activation,3,gelu,ffn_activation,gelu.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,7.98,0,6,7,5,0,5,0,0.0
distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,softmax.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.12,3,4,4,4,0,4,0,0.0
distilbert_sst2.layer3.layernorm.attention_layernorm,3,layernorm,attention_layernorm,layernorm.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.69,2,6,7,6,0,6,0,0.0
distilbert_sst2.layer3.layernorm.ffn_layernorm,3,layernorm,ffn_layernorm,layernorm.centered.mid_cost.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,1.368,1,1,2,1,0,1,0,0.0
distilbert_sst2.layer4.gelu.ffn_activation,4,gelu,ffn_activation,gelu.exact.high.v1,seal_profiled_bootstrap,5,none,profile,7.98,0,6,7,5,0,5,0,0.0
distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,softmax.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.12,3,4,4,4,0,4,0,0.0
distilbert_sst2.layer4.layernorm.attention_layernorm,4,layernorm,attention_layernorm,layernorm.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.69,2,6,7,6,0,6,0,0.0
distilbert_sst2.layer4.layernorm.ffn_layernorm,4,layernorm,ffn_layernorm,layernorm.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.69,2,6,7,6,0,6,0,0.0
distilbert_sst2.layer5.gelu.ffn_activation,5,gelu,ffn_activation,gelu.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,7.98,0,6,7,5,0,5,0,0.0
distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,softmax.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.12,3,4,4,4,0,4,0,0.0
distilbert_sst2.layer5.layernorm.attention_layernorm,5,layernorm,attention_layernorm,layernorm.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.69,2,6,7,6,0,6,0,0.0
distilbert_sst2.layer5.layernorm.ffn_layernorm,5,layernorm,ffn_layernorm,layernorm.exact.high.v1,seal_profiled_bootstrap,6,bootstrap_before,profile,9.69,2,6,7,6,0,6,0,0.0
