operator_id,layer_index,operator_type,operator_name,from_candidate_id,to_candidate_id,accepted,reason,benefit,cost_saving,single_accuracy_drop,combined_accuracy,combined_accuracy_drop,combined_logit_kl,combined_label_flip_rate
distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,softmax.exact.high.v1,softmax.clipped.stable.v1,True,accepted,9256425.190983206,3.650000000000002,0.0,0.9921875,0.0,0.001986495219171047,0.0
distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,softmax.exact.high.v1,softmax.clipped.stable.v1,True,accepted,2547708.383426733,3.650000000000002,0.0,0.9921875,0.0,0.0014235151465982199,0.0
distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,softmax.clipped.stable.v1,softmax.poly_exp.degree2.v1,True,accepted,2530835.973958395,12.200000000000003,0.0,0.9921875,0.0,0.001106802374124527,0.0
distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,softmax.exact.high.v1,softmax.poly_exp.degree2.v1,True,accepted,720187.5477023277,12.200000000000003,0.0,0.9921875,0.0,0.00023365701781585813,0.0
distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,softmax.clipped.stable.v1,softmax.poly_exp.degree2.v1,True,accepted,536183.4291164521,12.200000000000003,0.0,0.9921875,0.0,0.0004971673479303718,0.0
distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,softmax.exact.high.v1,softmax.clipped.stable.v1,True,accepted,403074.0683429544,3.650000000000002,0.0,0.9921875,0.0,0.00044457436888478696,0.0
distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,softmax.exact.high.v1,softmax.poly_exp.degree2.v1,True,accepted,356113.6094671662,12.200000000000003,0.0,0.9921875,0.0,0.0003752950578927994,0.0
distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,softmax.clipped.stable.v1,softmax.poly_exp.degree2.v1,True,accepted,307959.8077400845,12.200000000000003,0.0,0.9921875,0.0,0.0010545930126681924,0.0
distilbert_sst2.layer5.softmax.attention_softmax,5,softmax,attention_softmax,softmax.poly_exp.degree2.v1,softmax.power.degree2.v1,True,accepted,152552.82209369712,15.900000000000002,0.0,0.98828125,0.00390625,0.003821925027295947,0.00390625
distilbert_sst2.layer0.softmax.attention_softmax,0,softmax,attention_softmax,softmax.poly_exp.degree2.v1,softmax.power.degree2.v1,True,accepted,145286.8946436717,15.900000000000002,0.0,0.98828125,0.00390625,0.004060979466885328,0.00390625
distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,softmax.exact.high.v1,softmax.poly_exp.degree2.v1,True,accepted,144631.63899489716,12.200000000000003,0.0,0.98828125,0.00390625,0.0036526767071336508,0.00390625
distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,softmax.poly_exp.degree2.v1,softmax.clipped.stable.v1,False,not_a_downgrade,101332.89193460149,3.650000000000002,0.0,,,,
distilbert_sst2.layer2.softmax.attention_softmax,2,softmax,attention_softmax,softmax.poly_exp.degree2.v1,softmax.power.degree2.v1,True,accepted,92062.39491403922,15.900000000000002,0.0,0.9921875,0.0,0.00031119337654672563,0.0
distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,softmax.poly_exp.degree2.v1,softmax.power.degree2.v1,True,accepted,78080.14708938671,15.900000000000002,0.0,0.9921875,0.0,0.0005260750185698271,0.0
distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,softmax.poly_exp.degree2.v1,softmax.power.degree2.v1,True,accepted,76244.38516031188,15.900000000000002,0.0,0.9921875,0.0,0.0006197365000844002,0.0
distilbert_sst2.layer1.softmax.attention_softmax,1,softmax,attention_softmax,softmax.power.degree2.v1,softmax.clipped.stable.v1,False,not_a_downgrade,41657.54369229972,3.650000000000002,0.0,,,,
distilbert_sst2.layer4.softmax.attention_softmax,4,softmax,attention_softmax,softmax.poly_exp.degree2.v1,softmax.power.degree2.v1,True,accepted,28356.764664696697,15.900000000000002,0.0,0.98828125,0.00390625,0.0063716946169734,0.00390625
distilbert_sst2.layer3.softmax.attention_softmax,3,softmax,attention_softmax,softmax.power.degree2.v1,softmax.clipped.stable.v1,False,not_a_downgrade,172.1175308421201,3.650000000000002,0.00390625,,,,
